,A,B,R_val,R_z_score,R_p_val
2077,Fibro_adventitial,T_reg,-0.05284387754029698,-14.313804686468155,1.0
1221,DC_1,Fibro_adventitial,-0.053212929334747965,-14.413769631336816,1.0
901,CD8_EM_EMRA,Fibro_adventitial,-0.0534364354479914,-14.474310662769614,1.0
3135,SMG_Serous,Secretory_Goblet,-0.0535315622468106,-14.500077629202172,1.0
2078,Fibro_adventitial,gdT,-0.05413926583143302,-14.66468611030613,1.0
1401,DC_plasmacytoid,Fibro_adventitial,-0.054421295491323504,-14.741079396631212,1.0
109,AT2,Fibro_adventitial,-0.05446454390826865,-14.752794081888359,1.0
1516,Dividing_AT2,Fibro_adventitial,-0.05483998603460587,-14.854489973969049,1.0
1665,Endothelia_Lymphatic,SMG_Duct,-0.05495304639492898,-14.885114598632759,1.0
1614,Dividing_Basal,Schwann_nonmyelinating,-0.05505722855959604,-14.913334389198292,1.0
2591,Macro_alv,SMG_Serous,-0.055482918471092706,-15.028640883229066,1.0
1941,Endothelia_vascular_venous_systemic,Fibro_perichondrial,-0.05549299252193784,-15.031369638250663,1.0
2717,Mast_cell,SMG_Serous,-0.05583181041459285,-15.12314513553597,1.0
2039,Fibro_adventitial,MAIT,-0.05605362271457574,-15.183227364297291,1.0
2052,Fibro_adventitial,Monocyte_CD14,-0.05616655095644144,-15.213816202075503,1.0
627,CD4_EM_Effector,Fibro_adventitial,-0.05621809600252152,-15.227778192687994,1.0
559,Basal,Fibro_myofibroblast,-0.05634441080502008,-15.26199304398454,1.0
539,Basal,Chondrocyte,-0.05676604862041979,-15.376201948004846,1.0
3136,SMG_Serous,Suprabasal,-0.057102449451036465,-15.467322736447006,1.0
2042,Fibro_adventitial,Macro_AW_CX3CR1,-0.05722313071317984,-15.500011632418339,1.0
2065,Fibro_adventitial,NK_CD11d,-0.05747218439218767,-15.567472725050044,1.0
2049,Fibro_adventitial,Megakaryocyte,-0.057520845345321356,-15.580653502302468,1.0
1565,Dividing_Basal,Endothelia_vascular_Cap_a,-0.05758414511173584,-15.597799490358796,1.0
321,B_plasma_IgA,Ciliated,-0.05775498936142206,-15.644076019176158,1.0
262,B_naive,Fibro_adventitial,-0.05795272910151612,-15.697637721121687,1.0
507,B_plasmablast,Muscle_airway,-0.05798513817865401,-15.7064163577739,1.0
1032,CD8_TRM,Fibro_adventitial,-0.058229219370995726,-15.772530554487709,1.0
2066,Fibro_adventitial,NK_CD56bright,-0.058248204390224705,-15.77767302074608,1.0
834,CD8_EM,Fibro_adventitial,-0.058260493872867115,-15.781001869090092,1.0
1141,Chondrocyte,Suprabasal,-0.05845554016606918,-15.833833997913057,1.0
2211,Fibro_myofibroblast,Suprabasal,-0.05849854040904422,-15.845481460364047,1.0
1607,Dividing_Basal,NK_CD56bright,-0.059002325675810145,-15.981941619006056,1.0
967,CD8_TRM_EM,Fibro_adventitial,-0.05909385095129009,-16.006733041930993,1.0
2056,Fibro_adventitial,Muscle_pericyte_parenchyma,-0.05911392778648168,-16.01217124803984,1.0
2036,Fibro_adventitial,Fibro_perichondrial,-0.059279133440976524,-16.056920452330083,1.0
2047,Fibro_adventitial,Macro_CCL,-0.05930702878511991,-16.06447645552886,1.0
1199,Ciliated,SMG_Serous,-0.059404345878993944,-16.09083670650222,1.0
1591,Dividing_Basal,Mesothelia,-0.05958565745982098,-16.139948518052645,1.0
22,AT1,Dividing_Basal,-0.059864645662445565,-16.21551796579334,1.0
1342,DC_activated,Fibro_adventitial,-0.05989709805759703,-16.22430833598243,1.0
381,B_plasma_IgA,Secretory_Goblet,-0.060040550262129566,-16.263165190041942,1.0
596,Basal,SMG_Serous,-0.06073722314280574,-16.451872756718014,1.0
2044,Fibro_adventitial,Macro_alv,-0.061734287688152686,-16.721947320247445,1.0
1590,Dividing_Basal,Megakaryocyte,-0.061933224846705104,-16.775833366558654,1.0
467,B_plasmablast,Chondrocyte,-0.06233516610869966,-16.88470707127942,1.0
1681,Endothelia_vascular_Cap_a,Fibro_adventitial,-0.062472162940220136,-16.921815360457362,1.0
2041,Fibro_adventitial,Macro_interstitial,-0.062498622950314726,-16.928982575168416,1.0
1734,Endothelia_vascular_Cap_g,Fibro_adventitial,-0.06269347651710083,-16.981762500246987,1.0
1583,Dividing_Basal,Macro_AW_CX3CR1,-0.06289945098440113,-17.03755474019167,1.0
1910,Endothelia_vascular_venous_pulmonary,Muscle_airway,-0.06307535342822872,-17.085201380484115,1.0
1282,DC_2,Fibro_adventitial,-0.06328982834857416,-17.14329613550336,1.0
2729,Megakaryocyte,Muscle_airway,-0.0637850046288326,-17.27742438064559,1.0
1597,Dividing_Basal,Muscle_pericyte_parenchyma,-0.0640248839175236,-17.342400409023405,1.0
1589,Dividing_Basal,Mast_cell,-0.06410622955411222,-17.364434476325485,1.0
1984,Erythrocyte,Fibro_adventitial,-0.0641169851311885,-17.36734783614551,1.0
1140,Chondrocyte,Secretory_Goblet,-0.06432101881936192,-17.422614377851254,1.0
1122,Chondrocyte,Muscle_perivascular_immune_recruiting,-0.06495732854352271,-17.594971395081725,1.0
1023,CD8_TRM,Dividing_Basal,-0.06556168634491379,-17.75867360492162,1.0
2045,Fibro_adventitial,Macro_dividing,-0.0660637046288494,-17.894655141473525,1.0
1103,Chondrocyte,Ionocyte_n_Brush,-0.06628234991641349,-17.95387952256521,1.0
31,AT1,Fibro_adventitial,-0.06659426159731763,-18.038366942635495,1.0
2040,Fibro_adventitial,Macro_CHIT1,-0.06728713254944185,-18.22604468210627,1.0
1809,Endothelia_vascular_arterial_pulmonary,Muscle_airway,-0.06729383769620202,-18.227860903125364,1.0
1273,DC_2,Dividing_Basal,-0.06738222579602048,-18.25180256025385,1.0
1608,Dividing_Basal,Neuroendocrine,-0.06769197674539937,-18.335704703647405,1.0
2872,Muscle_airway,Neuroendocrine,-0.06802495204776694,-18.425897620317322,1.0
1925,Endothelia_vascular_venous_pulmonary,SMG_Duct,-0.0680357030244675,-18.428809734035003,1.0
2362,Ionocyte_n_Brush,NAF_endoneurial,-0.06814868273383576,-18.459412512799638,1.0
1606,Dividing_Basal,NK_CD11d,-0.06894566369301235,-18.675290497525275,1.0
342,B_plasma_IgA,Fibro_perichondrial,-0.06919747048191786,-18.74349732417935,1.0
1567,Dividing_Basal,Endothelia_vascular_arterial_pulmonary,-0.06933873200784073,-18.781760789804682,1.0
789,CD4_naive_CM,Muscle_airway,-0.07083473307053366,-19.18698213272764,1.0
1507,Dividing_AT2,Dividing_Basal,-0.071104117220739,-19.25995013377429,1.0
1424,DC_plasmacytoid,Muscle_airway,-0.07136646013360716,-19.3310108770517,1.0
2700,Mast_cell,Muscle_airway,-0.07143334992704685,-19.349129294612634,1.0
1392,DC_plasmacytoid,Dividing_Basal,-0.07171307920909169,-19.424899478305576,1.0
2100,Fibro_alveolar,Muscle_airway,-0.07188985736807195,-19.47278332328927,1.0
1569,Dividing_Basal,Endothelia_vascular_venous_pulmonary,-0.07205303004802589,-19.516981856397432,1.0
1085,Chondrocyte,Deuterosomal,-0.072208942031305,-19.559213686853763,1.0
2289,Fibro_perichondrial,SMG_Duct,-0.07273615604753578,-19.702019983582105,1.0
1539,Dividing_AT2,Muscle_airway,-0.0736368563067921,-19.945992382886356,1.0
2871,Muscle_airway,NK_CD56bright,-0.07413871324525778,-20.081930215840963,1.0
1120,Chondrocyte,Muscle_pericyte_airway,-0.07415173332943954,-20.085456961996883,1.0
2540,Macro_alveolar_metallothioneins,Muscle_airway,-0.07416352131067104,-20.088649968809577,1.0
333,B_plasma_IgA,Endothelia_vascular_arterial_systemic,-0.07458073523941298,-20.201660576025755,1.0
1574,Dividing_Basal,Fibro_immune_recruiting,-0.07472298156538511,-20.24019079413437,1.0
1604,Dividing_Basal,NK_CD16hi,-0.07500477212708963,-20.316519316008126,1.0
958,CD8_TRM_EM,Dividing_Basal,-0.07512496321018525,-20.349075437333134,1.0
825,CD8_EM,Dividing_Basal,-0.0754325992396238,-20.43240471301973,1.0
1080,Chondrocyte,Ciliated,-0.07553402417899585,-20.459877654826492,1.0
1055,CD8_TRM,Muscle_airway,-0.07569926777109497,-20.504637135263817,1.0
720,CD4_TRM,Muscle_airway,-0.0759226947556354,-20.565156733129424,1.0
1489,Deuterosomal,NAF_endoneurial,-0.07603742836381368,-20.596234589919654,1.0
209,B_memory,Muscle_airway,-0.0763622850341734,-20.684228415260716,1.0
2870,Muscle_airway,NK_CD11d,-0.07648554044951666,-20.71761457130931,1.0
100,AT2,Dividing_Basal,-0.0765318692338689,-20.73016363472869,1.0
688,CD4_TRM,Dividing_Basal,-0.0767107057820389,-20.778605034952502,1.0
2505,Macro_AW_CX3CR1,Muscle_airway,-0.07705724935846198,-20.87247318579907,1.0
650,CD4_EM_Effector,Muscle_airway,-0.07711742805187503,-20.88877376978147,1.0
132,AT2,Muscle_airway,-0.0776088307486703,-21.02187986554379,1.0
2869,Muscle_airway,NKT,-0.0780215065921755,-21.13366124302224,1.0
2315,ILC,Muscle_airway,-0.07815697327390668,-21.170355061002297,1.0
54,AT1,Muscle_airway,-0.07817923139174682,-21.176384110464255,1.0
1596,Dividing_Basal,Muscle_pericyte_airway,-0.07833457890632778,-21.21846304345975,1.0
2882,Muscle_airway,T_reg,-0.07889894276955663,-21.37133210769899,1.0
285,B_naive,Muscle_airway,-0.07901852138190124,-21.403722329262017,1.0
3020,NAF_endoneurial,Secretory_Goblet,-0.07913351643563804,-21.43487100372943,1.0
1121,Chondrocyte,Muscle_pericyte_parenchyma,-0.07915761213341675,-21.441397797898265,1.0
2868,Muscle_airway,NK_CD16hi,-0.07925312159346026,-21.467268415657728,1.0
2883,Muscle_airway,gdT,-0.07926361752763751,-21.47011144608638,1.0
1097,Chondrocyte,Fibro_alveolar,-0.07948404150712315,-21.529817620906076,1.0
1244,DC_1,Muscle_airway,-0.07956024483672872,-21.55045879311379,1.0
857,CD8_EM,Muscle_airway,-0.07962074102584679,-21.56684537705914,1.0
14,AT1,Chondrocyte,-0.07974932214443191,-21.601674104689724,1.0
2394,MAIT,Muscle_airway,-0.0797585198176163,-21.604165475566717,1.0
924,CD8_EM_EMRA,Muscle_airway,-0.07976706074060212,-21.60647895272153,1.0
1578,Dividing_Basal,ILC,-0.07983512995771053,-21.624916840405067,1.0
312,B_plasma_IgA,Basal,-0.07997217259219767,-21.662037536218357,1.0
1582,Dividing_Basal,Macro_interstitial,-0.08007790830014097,-21.69067813456831,1.0
990,CD8_TRM_EM,Muscle_airway,-0.0801465171277599,-21.70926218638313,1.0
522,B_plasmablast,SMG_Duct,-0.08019287585229523,-21.721819359690606,1.0
2784,Macrophage_intermediate,Muscle_airway,-0.08022953935580193,-21.731750391491147,1.0
1704,Endothelia_vascular_Cap_a,Muscle_airway,-0.0806409646430371,-21.843193031181382,1.0
253,B_naive,Dividing_Basal,-0.08066544792835453,-21.849824811066373,1.0
2639,Macro_int,Muscle_airway,-0.08074567935339345,-21.871557072232267,1.0
1365,DC_activated,Muscle_airway,-0.08091236233244341,-21.916706438965626,1.0
2835,Monocyte_CD16,Muscle_airway,-0.08123784890513176,-22.004870885754684,1.0
