,A,B,R_val,R_z_score,R_p_val
2028,Erythrocyte,Secretory_Goblet,-0.05303258146165822,-14.364918859001685,1.0
1458,Deuterosomal,Erythrocyte,-0.05308256495772287,-14.378457873046797,1.0
589,Basal,NKT,-0.053777042207344646,-14.566570709821526,1.0
3066,NKT,Suprabasal,-0.054041896726067365,-14.638311770996202,1.0
3065,NKT,Secretory_Goblet,-0.05406409620584826,-14.644324937185278,1.0
805,CD4_naive_CM,SMG_Mucous,-0.055186678486489026,-14.94839845066522,1.0
1471,Deuterosomal,Macro_alveolar_metallothioneins,-0.05526210505817966,-14.968829222697918,1.0
2115,Fibro_alveolar,SMG_Duct,-0.056215787140700336,-15.22715279200404,1.0
1492,Deuterosomal,NKT,-0.05666217248140687,-15.348065050513146,1.0
2655,Macro_int,SMG_Mucous,-0.0566726501045309,-15.350903121032506,1.0
1169,Ciliated,Macro_interstitial,-0.05702958801562021,-15.447586782079753,1.0
2084,Fibro_alveolar,Ionocyte_n_Brush,-0.059803164795091464,-16.19886466236022,1.0
1158,Ciliated,Erythrocyte,-0.060138354609564806,-16.289657423235994,1.0
1825,Endothelia_vascular_arterial_pulmonary,SMG_Mucous,-0.06020871847228019,-16.30871686086196,1.0
1597,Dividing_Basal,Muscle_pericyte_parenchyma,-0.06057057619137129,-16.406733148773668,1.0
22,AT1,Dividing_Basal,-0.06059445995378736,-16.413202536076692,1.0
1181,Ciliated,Monocyte_CD16,-0.06063211279653862,-16.423401549890936,1.0
811,CD4_naive_CM,Suprabasal,-0.06100917086588172,-16.525535151951427,1.0
534,Basal,CD4_naive_CM,-0.06120291384713067,-16.578014253070695,1.0
536,Basal,CD8_EM_EMRA,-0.061236583524977656,-16.587134348245215,1.0
945,CD8_EM_EMRA,Secretory_Goblet,-0.061566599245552085,-16.676525603914598,1.0
946,CD8_EM_EMRA,Suprabasal,-0.06159237369846205,-16.683507121964112,1.0
1926,Endothelia_vascular_venous_pulmonary,SMG_Mucous,-0.061934096461586784,-16.776069460610774,1.0
2453,Macro_CHIT1,Secretory_Goblet,-0.06198487876424958,-16.78982484715087,1.0
565,Basal,Macro_CHIT1,-0.06216077182257166,-16.837468945194356,1.0
1171,Ciliated,Macro_alveolar_metallothioneins,-0.06232125239019984,-16.880938266673493,1.0
810,CD4_naive_CM,Secretory_Goblet,-0.06236558858749338,-16.892947598655546,1.0
2454,Macro_CHIT1,Suprabasal,-0.06248386105020636,-16.92498402387378,1.0
70,AT1,SMG_Mucous,-0.06328070013584819,-17.14082357935915,1.0
1468,Deuterosomal,Macro_CHIT1,-0.06341629863405832,-17.177553102427893,1.0
890,CD8_EM_EMRA,Deuterosomal,-0.06370722544690317,-17.25635635780866,1.0
755,CD4_naive_CM,Deuterosomal,-0.06387087119953617,-17.300683031966372,1.0
1192,Ciliated,NKT,-0.06426887517648833,-17.408490245511334,1.0
2661,Macro_int,Suprabasal,-0.06444856242634929,-17.457162075037797,1.0
571,Basal,Macro_int,-0.06449722677786641,-17.470343772809283,1.0
2660,Macro_int,Secretory_Goblet,-0.06485291573229282,-17.566689129353403,1.0
1474,Deuterosomal,Macro_int,-0.0666579361325394,-18.05561444420218,1.0
148,AT2,SMG_Mucous,-0.06892382467813815,-18.669374970353452,1.0
